"|","|__i","|__lc","|__m","|__n","|__ri","|__rm","|__rn","|__sc","|__t","|__time"
"1531872699900","116714431077380913261","","status of train (sent from Ulhas Nagar)","veena ahuja","","","","","18 Jul 05:41 AM","1531872699900"
"1531872814517","100725665539287107784","1","khopoli cst fast is late by 20 min just left karjat","Meghna Majethia","","","","","18 Jul 05:43 AM","1531872814517"
"1531873030104","105608656264470029982","1","Any water logging from Kalyan to Dadar?","Arjun Borgaonkar","","","","","18 Jul 05:47 AM","1531873030104"
"1531873963916","100490287807798921236","","is it raining there (sent from Rabale)","vishal shingre","105608656264470029982","Any water logging from Kalyan to Dadar?","Arjun Borgaonkar","","18 Jul 06:02 AM","1531873963916"
"1531874050961","100560113301062380324","","fast train kurla to ulhas nagar timing ","Shabana Ajaz","","","","","18 Jul 06:04 AM","1531874050961"
"1531874062169","101888616578139040942","","now where is this local.. (sent from Airoli Stn.)","Sachin Onlyforu","100725665539287107784","khopoli cst fast is late by 20 min just left karjat","Meghna Majethia","","18 Jul 06:04 AM","1531874062169"
"1531874111472","100560113301062380324","1","timing ","Shabana Ajaz","","","","","18 Jul 06:05 AM","1531874111472"
"1531874167921","111422168720716525651","","are trains running on time? (sent from Thane)","Mohit Ramani","","","","","18 Jul 06:06 AM","1531874167921"
"1531874228038","107869292214670564029","","trains are running? (sent from Dombivli)","Vinu Gaikwad","","","","1","18 Jul 06:07 AM","1531874228038"
"1531874724472","109973377666366599208","","6.12 fast trn status (sent from Kalyan Stn.)","ASHISH CHANDEKAR","","","","","18 Jul 06:15 AM","1531874724472"
"1531874836376","109973377666366599208","","whr is the trn nw (sent from Kalyan Stn.)","ASHISH CHANDEKAR","100725665539287107784","khopoli cst fast is late by 20 min just left karjat","Meghna Majethia","","18 Jul 06:17 AM","1531874836376"
"1531875109542","109973377666366599208","","? (sent from Thakurli Stn.)","ASHISH CHANDEKAR","","","","","18 Jul 06:21 AM","1531875109542"
"1531875113963","103120418988837640442","1","fast train from kp csmt local just left ambernath (sent from Ambernath Stn.)","tejas choudhari","","","","","18 Jul 06:21 AM","1531875113963"
"1531875218476","110972590595520567429","","06.18 Dombivli  (sent from Dombivli Stn.)","amit sawant","","","","","18 Jul 06:23 AM","1531875218476"
"1531875221376","100725665539287107784","","it will reach ulhas nagar (sent from Ulhas Nagar)","Meghna Majethia","109973377666366599208","whr is the trn nw (sent from Kalyan Stn.)","ASHISH CHANDEKAR","","18 Jul 06:23 AM","1531875221376"
"1531875246246","114872827447738211020","","train is late 20mint still waiting for train from ulhas","Anju Pal","","","","","18 Jul 06:24 AM","1531875246246"
"1531875251186","110972590595520567429","","? (sent from Dombivli Stn.)","amit sawant","","","","","18 Jul 06:24 AM","1531875251186"
"1531875254525","101992906466069519545","","6:30 tak pohochega ki nhi dombivli (sent from Dombivli Stn.)","Shreyas Patwardhan","","","","","18 Jul 06:24 AM","1531875254525"
"1531875289096","100725665539287107784","","ny (sent from Ulhas Nagar Stn.)","Meghna Majethia","101992906466069519545","6:30 tak pohochega ki nhi dombivli (sent from Dombivli Stn.)","Shreyas Patwardhan","","18 Jul 06:24 AM","1531875289096"
"1531875316972","101992906466069519545","","arey yarrr😣 (sent from Dombivli Stn.)","Shreyas Patwardhan","100725665539287107784","ny (sent from Ulhas Nagar Stn.)","Meghna Majethia","","18 Jul 06:25 AM","1531875316972"
"1531875358530","102764894165777663659","","how did you escape them?? kaise bache aap unlogo se","Complicated Banda","107258285307051779831","sir me ek repute company me kam karta hu lekin aaj mere sat bahut bura huva muje jindgika sabk mil gaya hen (sent from Vikhroli Stn.)","Pravin Yadav","","18 Jul 06:25 AM","1531875358530"
"1531875473806","107258285307051779831","","sir duniyame bhagvan he isliye najane vaha kaha  se RPF aa pohchi  (sent from Lower Parel Stn.)","Pravin Yadav","","","","","18 Jul 06:27 AM","1531875473806"
"1531875538208","113359006180293416932","","were is 6.18 fast train (sent from Dombivli Stn.)","Kejal Bhate","","","","","18 Jul 06:28 AM","1531875538208"
"1531875575700","101897412807821689549","","6:33 ko Karjat pohochnevali local kaha hai","Bhavesh Oswal","","","","","18 Jul 06:29 AM","1531875575700"
"1531875595062","101897412807821689549","","abhi vangni pe konsi local ruki hai","Bhavesh Oswal","","","","","18 Jul 06:29 AM","1531875595062"
"1531875601614","101897412807821689549","","Jo late hai","Bhavesh Oswal","","","","","18 Jul 06:30 AM","1531875601614"
"1531875633354","112894370020260664055","","good morning.... (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:30 AM","1531875633354"
"1531875635015","102064395758723101588","","6.26 CST (@BL) has stuck at vangani (sent from Badlapur Stn.)","Vrishali Jadhav","","","","","18 Jul 06:30 AM","1531875635015"
"1531875645184","107258285307051779831","","RPF ke do javan aaye the vaha aur unko dekh ke o log station ke opposit bhag gaye  (sent from Lower Parel Stn.)","Pravin Yadav","","","","","18 Jul 06:30 AM","1531875645184"
"1531875651894","112894370020260664055","","6.23 TITWALA slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:30 AM","1531875651894"
"1531875660458","112650998636740559438","","whats happen in vangni (sent from Ghatkopar Stn.)","WHATSAPP STATUS OFFICIAL","","","","","18 Jul 06:31 AM","1531875660458"
"1531875674251","114872827447738211020","","just reached kalyan  (sent from Kalyan Stn.)","Anju Pal","113359006180293416932","were is 6.18 fast train (sent from Dombivli Stn.)","Kejal Bhate","","18 Jul 06:31 AM","1531875674251"
"1531875691274","112894370020260664055","","6.28 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:31 AM","1531875691274"
"1531875694453","113359006180293416932","","okay thank you (sent from Dombivli Stn.)","Kejal Bhate","114872827447738211020","just reached kalyan  (sent from Kalyan Stn.)","Anju Pal","","18 Jul 06:31 AM","1531875694453"
"1531875751495","112650998636740559438","","up line towards karjat is running? (sent from Ghatkopar Stn.)","WHATSAPP STATUS OFFICIAL","","","","","18 Jul 06:32 AM","1531875751495"
"1531875775688","101992906466069519545","","kaha pohcha (sent from Dombivli Stn.)","Shreyas Patwardhan","","","","","18 Jul 06:32 AM","1531875775688"
"1531875781789","112558355561884958539","",".. (sent from Khopoli Stn.)","Vijaykumar V.","","","","","18 Jul 06:33 AM","1531875781789"
"1531875791001","112894370020260664055","","6.27 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:33 AM","1531875791001"
"1531875810408","102064395758723101588","1","Yes 10 min late (sent from Badlapur Stn.)","Vrishali Jadhav","112650998636740559438","up line towards karjat is running? (sent from Ghatkopar Stn.)","WHATSAPP STATUS OFFICIAL","","18 Jul 06:33 AM","1531875810408"
"1531875983300","115775261765356014877","","bhivpuri khopoli train let ahet ka (sent from Bhivpuriroad Stn.)","Nitin Khamkar","","","","","18 Jul 06:36 AM","1531875983300"
"1531876026868","112894370020260664055","","6.32 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:37 AM","1531876026868"
"1531876052250","112894370020260664055","","6.35 AMBARNATH slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:37 AM","1531876052250"
"1531876133722","106168354898621983862","","What is the status of karjat fast train ? (sent from Ambernath Stn.)","Javie Pahuja","","","","","18 Jul 06:38 AM","1531876133722"
"1531876313770","112894370020260664055","","6.39 KALYAN slow local train halted on plf no 2 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:41 AM","1531876313770"
"1531876348365","112894370020260664055","","6.36 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:42 AM","1531876348365"
"1531876542643","112664561895614030074","1","train from shahad are on time?? (sent from Shahad)","RAHUL VERMA","","","","","18 Jul 06:45 AM","1531876542643"
"1531876582713","100678804603150842069","","6:19 slow local for Karjat just arrvied on platform no 1 (sent from Vangani Stn.)","joseph pinto","","","","","18 Jul 06:46 AM","1531876582713"
"1531876586899","112894370020260664055","","6.46 KALYAN fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:46 AM","1531876586899"
"1531876599823","100678804603150842069","","some issues in Karjat line (sent from Vangani Stn.)","joseph pinto","","","","","18 Jul 06:46 AM","1531876599823"
"1531876613855","104311232216114119649","","karjat line chalu ahe ka  (sent from Ambernath)","dhananjay kakade","","","","","18 Jul 06:46 AM","1531876613855"
"1531876622269","112894370020260664055","","6 42 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:47 AM","1531876622269"
"1531876656961","115775261765356014877","","ho ahe (sent from Bhivpuriroad Stn.)","Nitin Khamkar","","","","","18 Jul 06:47 AM","1531876656961"
"1531876675693","115775261765356014877","","kahi problem zal ahe ka (sent from Bhivpuriroad Stn.)","Nitin Khamkar","","","","","18 Jul 06:47 AM","1531876675693"
"1531876718156","112894370020260664055","","6.47 TITWALA slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:48 AM","1531876718156"
"1531876748949","112894370020260664055","","6.49 KARJAT fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:49 AM","1531876748949"
"1531876760298","115775261765356014877","","6 :34 khopoli train kuthe ahe (sent from Bhivpuriroad Stn.)","Nitin Khamkar","","","","","18 Jul 06:49 AM","1531876760298"
"1531876822284","101733711541852704929","","6:33 karjat cancel aahe ","Vishal Lobhi","","","","","18 Jul 06:50 AM","1531876822284"
"1531876826986","109138664009003424992","","6;32 Karjat vt cancelled today (sent from Karjat Stn.)","mandale vishwanath","","","","","18 Jul 06:50 AM","1531876826986"
"1531876841949","116819215448163573209","","kalyan start 15 dabba 7.19 kuthe aahe (sent from Kalyan Stn.)","nilesh solia","","","","","18 Jul 06:50 AM","1531876841949"
"1531876876900","112894370020260664055","","6.46 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:51 AM","1531876876900"
"1531876904926","100678804603150842069","","All local going toward karjat from Badlapur to Neral some technical issue all local moving as 10 kmph.. Back to Back karjat local are arrving at Vagani.. 6:19 karjat left know 6:28 has arrvied... at Vagani (sent from Vangani Stn.)","joseph pinto","","","","","18 Jul 06:51 AM","1531876904926"
"1531876948881","110398142261941964076","","बदलापूर ला 7.06मिनिटांनी येणारी कर्जत -cst लोकल आणि मागची 7.15खोपोली लोकल वेळेत आहेत का (sent from Badlapur)","Anant Paradkar","","","","","18 Jul 06:52 AM","1531876948881"
"1531877072495","112894370020260664055","","6.31 CSMT fast local train arrived on plf no 6 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:54 AM","1531877072495"
"1531877096516","112894370020260664055","","6.51 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:54 AM","1531877096516"
"1531877118182","106699538038217320595","","7.06 cancelled today... (sent from Badlapur Stn.)","sunil dusane","110398142261941964076","बदलापूर ला 7.06मिनिटांनी येणारी कर्जत -cst लोकल आणि मागची 7.15खोपोली लोकल वेळेत आहेत का (sent from Badlapur)","Anant Paradkar","","18 Jul 06:55 AM","1531877118182"
"1531877123014","112894370020260664055","","6.50 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:55 AM","1531877123014"
"1531877129977","100678804603150842069","1","Just announce... 6:57 Fast local for Mumbai CST is running 40 min late today... Just announced... at Vagani.. Some issue between Vagani and Neral all local are running 35 to 40 mins (sent from Vangani Stn.)","joseph pinto","","","","","18 Jul 06:55 AM","1531877129977"
"1531877156720","101616101552114441988","","6.10 kassara  to cst  current status  (sent from Thakurli)","mangesh khanolkar","","","","","18 Jul 06:55 AM","1531877156720"
"1531877166431","100678804603150842069","1","Annouced at vagani 6:57 fast local for Mumbai CST is running 40 min late not cancelled  (sent from Vangani Stn.)","joseph pinto","106699538038217320595","7.06 cancelled today... (sent from Badlapur Stn.)","sunil dusane","","18 Jul 06:56 AM","1531877166431"
"1531877215800","112894370020260664055","","6.57 ASANGAON slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:56 AM","1531877215800"
"1531877220770","114355249815046302672","","7:04 Thane CST is on time?? (sent from Thane)","Divya Daswani","","","","","18 Jul 06:57 AM","1531877220770"
"1531877231603","100678804603150842069","","No train to Mumbai CST for 40 min from Vagani 6:57 train annouce 40 min late (sent from Vangani Stn.)","joseph pinto","","","","","18 Jul 06:57 AM","1531877231603"
"1531877263627","107791812063428421903","","Heavey rains hey kya (sent from Dombivli Stn.)","Sunny Jadhav","100678804603150842069","No train to Mumbai CST for 40 min from Vagani 6:57 train annouce 40 min late (sent from Vangani Stn.)","joseph pinto","","18 Jul 06:57 AM","1531877263627"
"1531877292832","116522037165238722374","1","6.42 Karjat CST Fast from Bhivpuri is cancelled today, just announced.","Rohan Nargolkar","","","","","18 Jul 06:58 AM","1531877292832"
"1531877327520","112894370020260664055","","6.56 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","18 Jul 06:58 AM","1531877327520"
"1531877413786","116522037165238722374","","Those who are travelling by 6.57 CST fast from Vangani, the train is cancelled today, just announced at Bhivpuri Road... (sent from Bhivpuriroad Stn.)","Rohan Nargolkar","","","","","18 Jul 07:00 AM","1531877413786"
"1531877429548","100678804603150842069","","from Vagani 6:57 fast local for Mumbai CST is late by 40 min./ 7:06 min fast local for Mumbai CST is 30 min late just announced.... it will effect the Badlapur and ambernath passengers (sent from Vangani Stn.)","joseph pinto","","","","","18 Jul 07:00 AM","1531877429548"
"1531877480833","112894370020260664055","","7.01 KALYAN slow local train halted on plf no 2 (sent from Thane Stn.)","Thane User","","","","","18 Jul 07:01 AM","1531877480833"
"1531877554847","104601524495363644960","","how about treen (sent from Ghatkopar)","Diwakar Pandey","","","","","18 Jul 07:02 AM","1531877554847"
"1531877620564","100646719039972402787","","7.06 Badlapur to CST is cancelled today (sent from Badlapur Stn.)","Rahul Singh","","","","","18 Jul 07:03 AM","1531877620564"
"1531877648714","100678804603150842069","2","update ....Western Railway local are running 5 to10 min late.... Central line Kasara to CST 10 min late.. Karjat to CST 30 to 40 Min late.... Kalyan to CST slow line is On time..  (sent from Vangani Stn.)","joseph pinto","","","","","18 Jul 07:04 AM","1531877648714"
"1531877678433","100646719039972402787","","Trains are not going from Badlapur platform no.3 (sent from Badlapur Stn.)","Rahul Singh","","","","","18 Jul 07:04 AM","1531877678433"
"1531877705350","112894370020260664055","","7.07 BADLAPUR fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","18 Jul 07:05 AM","1531877705350"
"1531877712951","110632886096276972113","2","7.06 train cancelled and 7.15 late by 15 to 20 min... @badlapur station... (sent from Badlapur Stn.)","Pratiksha Shiraskar","","","","","18 Jul 07:05 AM","1531877712951"
"1531877733582","100678804603150842069","","Latur - Mumbai super fast Express just crossed Vagani... Always 7:06 Khopoli - CST local is late for it (sent from Vangani Stn.)","joseph pinto","","","","","18 Jul 07:05 AM","1531877733582"
"1531877740455","111075803975890803030","","what is the current status for csmt trn from krjat (sent from Vangani Stn.)","mandar khapare","","","","","18 Jul 07:05 AM","1531877740455"
"1531877820099","100678804603150842069","6","From Badlapur 7:06 is not canclled it's running behind 7:15 (Khopoli - CST) local becuse 7:06 local not reach karjat yet...  (sent from Vangani Stn.)","joseph pinto","","","","","18 Jul 07:07 AM","1531877820099"
"1531877827139","115775261765356014877","","cst local is star form karjar (sent from Karjat Stn.)","Nitin Khamkar","","","","","18 Jul 07:07 AM","1531877827139"
"1531877864018","100678804603150842069","","This is 6:57 at Vagani and 7:06 at Badlapur  (sent from Vangani Stn.)","joseph pinto","115775261765356014877","cst local is star form karjar (sent from Karjat Stn.)","Nitin Khamkar","","18 Jul 07:07 AM","1531877864018"
"1531877945174","100678804603150842069","","For karjat to CST Passengers it's good to go home... and have rest (sent from Vangani Stn.)","joseph pinto","","","","","18 Jul 07:09 AM","1531877945174"
"1531877969886","100501119711160823264","","7:00 AM CSMT Fast left from Karjat and running on time.","hemant mhase","","","","","18 Jul 07:09 AM","1531877969886"
"1531878012677","105051296484848535472","2","kalyan to CST train time p h na????  (sent from Vithalwadi)","Varsha Jadhav.","","","","","18 Jul 07:10 AM","1531878012677"
"1531878021766","100678804603150842069","","7:00 am ...where it reach  (sent from Vangani Stn.)","joseph pinto","100501119711160823264","7:00 AM CSMT Fast left from Karjat and running on time.","hemant mhase","","18 Jul 07:10 AM","1531878021766"
"1531878046908","108273612370127861812","","6:55 Kasara local is running on time or delay? (sent from Turbhe Stn.)","Avinash Aherrao","","","","","18 Jul 07:10 AM","1531878046908"
"1531878057666","106165273363513245031","","6.51 fast from Dombivali status? (sent from Diva Jn Stn.)","Mayura Kushe","","","","","18 Jul 07:10 AM","1531878057666"
"1531878078027","100501119711160823264","","Bhivpuri Road","hemant mhase","100678804603150842069","7:00 am ...where it reach  (sent from Vangani Stn.)","joseph pinto","","18 Jul 07:11 AM","1531878078027"
"1531878093385","100678804603150842069","","scroll  up and see. above messages.. Ambernath to CST is clear but local leaving from Karjat is running 30 min late today  (sent from Vangani Stn.)","joseph pinto","100678804603150842069","from Vagani 6:57 fast local for Mumbai CST is late by 40 min./ 7:06 min fast local for Mumbai CST is 30 min late just announced.... it will effect the Badlapur and ambernath passengers (sent from Vangani Stn.)","joseph pinto","","18 Jul 07:11 AM","1531878093385"
"1531878120382","100678804603150842069","","OK.. It's Khopoli CST or Karjat CST (sent from Vangani Stn.)","joseph pinto","100501119711160823264","Bhivpuri Road","hemant mhase","","18 Jul 07:12 AM","1531878120382"
"1531878147256","113428284707047682672","","7.15 cstm fast from Badlapur is on time or not ?","Mahendra Gupta","100678804603150842069","From Badlapur 7:06 is not canclled it's running behind 7:15 (Khopoli - CST) local becuse 7:06 local not reach karjat yet...  (sent from Vangani Stn.)","joseph pinto","","18 Jul 07:12 AM","1531878147256"
"1531878213310","102107758771631944244","","Ok  (sent from Thane)","Navin Daswani","","","","","18 Jul 07:13 AM","1531878213310"
"1531878218593","100501119711160823264","","7:00 AM is Karjat to CSMT. ","hemant mhase","100678804603150842069","OK.. It's Khopoli CST or Karjat CST (sent from Vangani Stn.)","joseph pinto","","18 Jul 07:13 AM","1531878218593"
"1531878277319","100707051026657381019","","7.15 cstm late upto 15 to 20 min. (sent from Badlapur Stn.)","Vivek Yenuwar","","","","","18 Jul 07:14 AM","1531878277319"
"1531878288562","110925088089046502775","","what is status of 7:15am Kasara train (At Kuala station) ","Mahesh Salunke","","","","","18 Jul 07:14 AM","1531878288562"
"1531878302199","116522037165238722374","","7.33 CST Fast from Badlapur is arriving at Neral...","Rohan Nargolkar","","","","","18 Jul 07:15 AM","1531878302199"
"1531878333503","100678804603150842069","","it's 25 min late (sent from Vangani Stn.)","joseph pinto","113428284707047682672","7.15 cstm fast from Badlapur is on time or not ?","Mahendra Gupta","","18 Jul 07:15 AM","1531878333503"
"1531878354441","112894370020260664055","","7.10 TITWALA slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","18 Jul 07:15 AM","1531878354441"
"1531878382273","103326457584328524967","","khopoli cst kuthe aahe (sent from Neral Stn.)","prathamesh kharate","","","","","18 Jul 07:16 AM","1531878382273"
"1531878388515","100678804603150842069","","No heavy rain.. The sun light arrvied at vagani stn (sent from Vangani Stn.)","joseph pinto","","","","","18 Jul 07:16 AM","1531878388515"
"1531878418248","113428284707047682672","","oops... latur is halted at Badlapur. all can travel upto kalyan in this train. this will halt at kalyan directly (sent from Badlapur Stn.)","Mahendra Gupta","","","","","18 Jul 07:16 AM","1531878418248"
"1531878433706","100678804603150842069",""," ohh good  (sent from Vangani Stn.)","joseph pinto","113428284707047682672","oops... latur is halted at Badlapur. all can travel upto kalyan in this train. this will halt at kalyan directly (sent from Badlapur Stn.)","Mahendra Gupta","","18 Jul 07:17 AM","1531878433706"
"1531878459677","109669333951009763076","","What is issue (sent from Kalyan Stn.)","chandrakant patil","","","","","18 Jul 07:17 AM","1531878459677"
"1531878462115","111220997636704564018","","yes (sent from Sion Stn.)","suraj w","","","","","18 Jul 07:17 AM","1531878462115"
"1531878476116","113428284707047682672","","donno (sent from Badlapur Stn.)","Mahendra Gupta","109669333951009763076","What is issue (sent from Kalyan Stn.)","chandrakant patil","","18 Jul 07:17 AM","1531878476116"
"1531878498226","100678804603150842069","","Annouced 7:24 fast local for Mumbai CST from Vagani is reaching  Neral stn (sent from Vangani Stn.)","joseph pinto","","","","","18 Jul 07:18 AM","1531878498226"
"1531878544840","110925088089046502775","","one train from Karjat has crossed Neral now.  (sent from Neral Stn.)","Mahesh Salunke","","","","","18 Jul 07:19 AM","1531878544840"
"1531878566479","100678804603150842069","","Morning Technical signal issue between Shelu and Neral.. know it solove (sent from Vangani Stn.)","joseph pinto","109669333951009763076","What is issue (sent from Kalyan Stn.)","chandrakant patil","1","18 Jul 07:19 AM","1531878566479"
"1531878614154","111055822305487072772","","dombivali se trains late he kya towards CSMT (sent from Kanjur Marg Stn.)","Chandrashekhar Patil","","","","","18 Jul 07:20 AM","1531878614154"
"1531878634194","100678804603150842069","","All local were stuck From Vagani toward Shelu (sent from Vangani Stn.)","joseph pinto","100678804603150842069","Morning Technical signal issue between Shelu and Neral.. know it solove (sent from Vangani Stn.)","joseph pinto","","18 Jul 07:20 AM","1531878634194"
"1531878634914","118160052386339428756","","ho aahe","Sushil Vishwakarma","","","","","18 Jul 07:20 AM","1531878634914"
"1531878642907","112703708519932909238","","cstm asnsol (sent from Mira Road)","AUSAF JAWED","","","","","18 Jul 07:20 AM","1531878642907"
"1531878643752","112894370020260664055","","7.14 AMBARNATH slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","18 Jul 07:20 AM","1531878643752"
"1531878656514","100501119711160823264","","Cancel keli ahe","hemant mhase","103326457584328524967","khopoli cst kuthe aahe (sent from Neral Stn.)","prathamesh kharate","","18 Jul 07:20 AM","1531878656514"
"1531878684234","112894370020260664055","","7.16 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","18 Jul 07:21 AM","1531878684234"
"1531878686469","116522037165238722374","","Nahi, 7.33 CST Fast chya maage ahe.. (sent from Shelu)","Rohan Nargolkar","100501119711160823264","Cancel keli ahe","hemant mhase","","18 Jul 07:21 AM","1531878686469"
"1531878697229","116522037165238722374","","Mi swataha baghitliye... (sent from Shelu)","Rohan Nargolkar","","","","","18 Jul 07:21 AM","1531878697229"
"1531878801626","100678804603150842069","1","7:24 mins fast local for Mumbai CST is shortly arrving on platform no two.... Just announce  (sent from Vangani Stn.)","joseph pinto","","","","","18 Jul 07:23 AM","1531878801626"
"1531878810260","112894370020260664055","","7.17 DOMBIVALI slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","18 Jul 07:23 AM","1531878810260"
"1531878863660","112894370020260664055","1","7.08 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","18 Jul 07:24 AM","1531878863660"
"1531878904394","100678804603150842069","5","7:06 Khopoli -CST fast is running behind of 7:24 CST fast.... It will be full crowded  (sent from Vangani Stn.)","joseph pinto","","","","1","18 Jul 07:25 AM","1531878904394"
"1531878931707","111926920207325621662","","what is the trains status from karjat (sent from Karjat Stn.)","Yogesh Gurav","","","","","18 Jul 07:25 AM","1531878931707"
"1531879018060","112894370020260664055","","7.21 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","18 Jul 07:26 AM","1531879018060"
"1531879034506","100678804603150842069","9","update.... Cemtral railway line all local are running 10 to 15 min late.... Some local coming from. Karjat are 20 mins late... Western line Virar to Churchgate local are 10 to 15 min late and Harbour is on time today....  (sent from Vangani Stn.)","joseph pinto","","","","1","18 Jul 07:27 AM","1531879034506"
"1531879042197","112894370020260664055","","7.21 DADAR slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","18 Jul 07:27 AM","1531879042197"
"1531879052168","111482163894684284516","1","all trains running late.7:06 cancle..@badlapur stn. (sent from Ambernath)","Umesh Solase","","","","","18 Jul 07:27 AM","1531879052168"
"1531879092188","110398142261941964076","","6.57कर्जत लोकल towards मुंबई फ्रॉम वांगणी आली का (sent from Badlapur Stn.)","Anant Paradkar","","","","","18 Jul 07:28 AM","1531879092188"
"1531879114085","112894370020260664055","","7.29 KARJAT fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","18 Jul 07:28 AM","1531879114085"
"1531879158698","100678804603150842069","2","7:24 Fast local dep... from vagani.. will reach Badlapur in 8 mins (sent from Vangani)","joseph pinto","","","","","18 Jul 07:29 AM","1531879158698"
"1531879166647","115629786359468190240","","7.32 fast cst from shahad kaha pe hai?? (sent from Shahad Stn.)","Ajay Bhavre","","","","","18 Jul 07:29 AM","1531879166647"
